chart,low,medium,high,total,,,,
Vbar,2,3,2,7,,,,
Hbar,2,3,2,7,,,,
Pie,2,3,2,7,,,,
,,,,,,,,
game_id,home_team,away_team,home_score,away_score,true_percentage,bin,rand,chartTyoe
2023_12_WAS_DAL,DAL,WAS,45,10,22,low,0.000416536,Vbar
2021_09_NE_CAR,CAR,NE,6,24,25,low,0.003697348,Vbar
2022_14_TB_SF,SF,TB,35,7,20,low,0.005735958,Hbar
2020_06_GB_TB,TB,GB,38,10,26,low,0.010822061,Hbar
2023_03_TEN_CLE,CLE,TEN,27,3,11,low,0.018378846,Pie
2021_07_CAR_NYG,NYG,CAR,25,3,12,low,0.020984692,Pie
2018_01_SF_MIN,MIN,SF,24,16,67,medium,0.001576596,Vbar
2023_18_CLE_CIN,CIN,CLE,31,14,45,medium,0.002983175,Vbar
2023_16_BAL_SF,SF,BAL,19,33,58,medium,0.003580825,Vbar
2021_02_LV_PIT,PIT,LV,17,26,65,medium,0.004675933,Hbar
2018_03_NE_DET,DET,NE,26,10,38,medium,0.00717197,Hbar
2023_14_PHI_DAL,DAL,PHI,33,13,39,medium,0.01071795,Hbar
2023_15_DAL_BUF,BUF,DAL,31,10,32,medium,0.012388643,Pie
2020_06_DET_JAX,JAX,DET,16,34,47,medium,0.012504785,Pie
2022_18_NYJ_MIA,MIA,NYJ,11,6,55,medium,0.018195396,Pie
2021_14_PIT_MIN,MIN,PIT,36,28,78,high,0.004169868,Vbar
2018_04_PHI_TEN,TEN,PHI,26,23,88,high,0.005662266,Vbar
2018_15_HOU_NYJ,NYJ,HOU,22,29,76,high,0.005887911,Hbar
2022_11_CHI_ATL,ATL,CHI,27,24,89,high,0.006225189,Hbar
2023_06_DAL_LAC,LAC,DAL,17,20,85,high,0.006317279,Pie
2018_02_DET_SF,SF,DET,30,27,90,high,0.006921714,Pie